2025-10-11 16:00, 0.0 hours
2025-10-11 16:01, 0.0 hours
2025-10-11 16:02, 0.0 hours
2025-10-11 16:03, 0.0 hours
2025-10-11 16:04, 0.0 hours
2025-10-11 16:05, 0.0139 hours
2025-10-11 16:06, 0.0167 hours
2025-10-11 16:07, 0.0167 hours
2025-10-11 16:08, 0.0167 hours
2025-10-11 16:09, 0.0167 hours
2025-10-11 16:10, 0.0167 hours
2025-10-11 16:11, 0.0167 hours
2025-10-11 16:12, 0.0167 hours
2025-10-11 16:13, 0.0167 hours
2025-10-11 16:14, 0.0167 hours
2025-10-11 16:15, 0.0167 hours
2025-10-11 16:16, 0.0167 hours
2025-10-11 16:17, 0.0167 hours
2025-10-11 16:18, 0.0167 hours
2025-10-11 16:19, 0.0167 hours
2025-10-11 16:20, 0.0167 hours
2025-10-11 16:21, 0.0167 hours
2025-10-11 16:22, 0.0167 hours
2025-10-11 16:23, 0.0167 hours
2025-10-11 16:24, 0.0167 hours
2025-10-11 16:25, 0.0167 hours
2025-10-11 16:26, 0.0167 hours
2025-10-11 16:27, 0.0167 hours
2025-10-11 16:28, 0.0167 hours
2025-10-11 16:29, 0.0167 hours
2025-10-11 16:30, 0.0167 hours
2025-10-11 16:31, 0.0167 hours
2025-10-11 16:32, 0.0167 hours
2025-10-11 16:33, 0.0167 hours
2025-10-11 16:34, 0.0167 hours
2025-10-11 16:35, 0.0167 hours
2025-10-11 16:36, 0.0167 hours
2025-10-11 16:37, 0.0167 hours
2025-10-11 16:38, 0.0167 hours
2025-10-11 16:39, 0.0167 hours
2025-10-11 16:40, 0.0167 hours
